DEBUG:root:Initialization
INFO:absl:Creating mfg_crowd_modelling_2d game with parameters: {'forbidden_states': '[0|0;1|0;2|0;3|0;4|0;5|0;6|0;7|0;8|0;9|0;10|0;11|0;12|0;0|1;6|1;12|1;0|2;6|2;12|2;0|3;12|3;0|4;6|4;12|4;0|5;6|5;12|5;0|6;1|6;2|6;4|6;5|6;6|6;7|6;8|6;10|6;11|6;12|6;0|7;6|7;12|7;0|8;6|8;12|8;0|9;12|9;0|10;6|10;12|10;0|11;6|11;12|11;0|12;1|12;2|12;3|12;4|12;5|12;6|12;7|12;8|12;9|12;10|12;11|12;12|12]', 'horizon': 40, 'initial_distribution': '[1|1]', 'initial_distribution_value': '[1.0]', 'size': 13, 'only_distribution_reward': True}
INFO:absl:Using game instance: mfg_crowd_modelling_2d
DEBUG:root:ppo_br: 171.77731806407397, and nash_conv: 17.612975583129327, reward: 165.16827794641884, entropy: 1.118633982038998
DEBUG:root:ppo_br: 171.23803496301, and nash_conv: 28.551850965612715, reward: 165.17879044002956, entropy: 1.1176165138060847
DEBUG:root:ppo_br: 171.29866064398695, and nash_conv: 21.467617894951985, reward: 165.19887842217807, entropy: 1.1166977124789665
DEBUG:root:ppo_br: 171.83179731528247, and nash_conv: 14.216948508874196, reward: 165.2102922873301, entropy: 1.1158817603367648
DEBUG:root:ppo_br: 171.74817818580803, and nash_conv: 17.303397617216092, reward: 165.21925452407524, entropy: 1.1146089759205475
DEBUG:root:ppo_br: 171.18406295234612, and nash_conv: 22.762229170367505, reward: 165.2309084918048, entropy: 1.1133440545483215
DEBUG:root:ppo_br: 170.86144919349985, and nash_conv: 21.912401908085883, reward: 165.2325676998676, entropy: 1.112130284409395
DEBUG:root:ppo_br: 171.5661622462418, and nash_conv: 19.40044236964414, reward: 165.2441619873047, entropy: 1.1112758801976839
DEBUG:root:ppo_br: 170.13912999717763, and nash_conv: 32.81816119248006, reward: 165.26224797330943, entropy: 1.110341035431584
DEBUG:root:ppo_br: 171.17130300012408, and nash_conv: 22.51647910779218, reward: 165.25407638549805, entropy: 1.1094040694989655
DEBUG:root:ppo_br: 170.82817039716107, and nash_conv: 24.14118009619017, reward: 165.26155394311044, entropy: 1.1084625064547544
DEBUG:root:ppo_br: 170.50371613690442, and nash_conv: 25.406514962935745, reward: 165.27052106584821, entropy: 1.1075821844401297
DEBUG:root:ppo_br: 171.620184255463, and nash_conv: 16.25628131789142, reward: 165.2794239501953, entropy: 1.1070136238105834
DEBUG:root:ppo_br: 171.33503481351124, and nash_conv: 18.690097551717827, reward: 165.288585349841, entropy: 1.1062336798279713
DEBUG:root:ppo_br: 171.1432675998419, and nash_conv: 22.972296266942323, reward: 165.29808128405529, entropy: 1.1050889140481401
DEBUG:root:ppo_br: 171.30281087179193, and nash_conv: 31.99521290556507, reward: 165.3083086965054, entropy: 1.1041184918789924
DEBUG:root:ppo_br: 171.4079547405532, and nash_conv: 24.130596364053133, reward: 165.3188953634778, entropy: 1.103110248281521
DEBUG:root:ppo_br: 171.62265903680762, and nash_conv: 21.240617988174847, reward: 165.33379581069946, entropy: 1.1021978716924787
DEBUG:root:ppo_br: 171.66281679742565, and nash_conv: 23.865205221327557, reward: 165.3413466250971, entropy: 1.1012511568780272
DEBUG:root:ppo_br: 171.6138584686375, and nash_conv: 24.98299506281373, reward: 165.35096347761746, entropy: 1.1002160097529858
DEBUG:root:ppo_br: 171.6610921597824, and nash_conv: 20.281691489500616, reward: 165.3635156624449, entropy: 1.099048463406007
DEBUG:root:ppo_br: 171.9103161488768, and nash_conv: 20.640483300851628, reward: 165.37212902906464, entropy: 1.0977499580237924
DEBUG:root:ppo_br: 171.7963366737615, and nash_conv: 22.946469327355572, reward: 165.37713640432645, entropy: 1.0965235166296814
DEBUG:root:ppo_br: 171.89928805732234, and nash_conv: 21.02483305776076, reward: 165.3875064528132, entropy: 1.09550447876913
DEBUG:root:ppo_br: 171.8533847974887, and nash_conv: 24.89863837635994, reward: 165.39796796056325, entropy: 1.094489700815635
DEBUG:root:ppo_br: 171.79188166933903, and nash_conv: 19.063121802133537, reward: 165.40862818036763, entropy: 1.0934020332992076
DEBUG:root:ppo_br: 172.01693181758148, and nash_conv: 19.94333122316425, reward: 165.42063183304828, entropy: 1.0925039405829808
DEBUG:root:ppo_br: 171.71707294499632, and nash_conv: 22.27399573173392, reward: 165.43351782944623, entropy: 1.091412364647669
DEBUG:root:ppo_br: 171.20087572344622, and nash_conv: 26.75500133945738, reward: 165.43933698687638, entropy: 1.0903740919472877
DEBUG:root:ppo_br: 170.88066734274346, and nash_conv: 24.390066564259456, reward: 165.45112949105197, entropy: 1.089316386920075
DEBUG:root:ppo_br: 171.89171659013607, and nash_conv: 18.713344228480707, reward: 165.46187625951157, entropy: 1.0885409966369586
DEBUG:root:ppo_br: 172.04622473101435, and nash_conv: 16.468208811065466, reward: 165.47109259594444, entropy: 1.087494609153819
DEBUG:root:ppo_br: 171.66612828567477, and nash_conv: 24.475106480622685, reward: 165.4866050327846, entropy: 1.086524514402662
DEBUG:root:ppo_br: 171.7153642005801, and nash_conv: 19.455385769052327, reward: 165.50085510600695, entropy: 1.085533260503276
DEBUG:root:ppo_br: 171.42869191056727, and nash_conv: 27.23847789560159, reward: 165.51499517236053, entropy: 1.0844082986567654
DEBUG:root:ppo_br: 171.71751933664103, and nash_conv: 22.0779176695749, reward: 165.5317002200009, entropy: 1.0834017033322474
